位置,檔案名稱,檔案種類,Key,English(en),Chinese (Traditional)(zh-Hant),Chinese (Simplified)(zh-Hans),Thai(th)
INFO_共用操作,,內文,Info_Sound_1,Click / tap to turn sound ON or OFF.,輕觸以開啟或關閉聲音。,轻触以开启或关闭声音。,คลิกหรือนิ้วแตะเพื่อเปิดหรือปิดเสียง
INFO_共用操作,,小標題,Info_History,History,歷史記錄,历史记录,ประวัติ
INFO_共用操作,,內文,Info_History_1,Click / tap to shows details of the previous games played. Scroll down to the end to load more records.,顯示先前玩過遊戲的詳細資訊。滾動到底部以載入更多記錄。,显示先前玩过游戏的详细信息。滚动到底部以加载更多记录。,คลิกหรือนิ้วแตะเพื่อแสดงรายละเอียดของเกมที่เล่นก่อนหน้านี้ เลื่อนลงไปด้านล่างเพื่อโหลดบันทึกเพิ่มเติม
INFO_共用操作,,小標題,Info_Close,Close,關閉,关闭,ปิด
INFO_共用操作,,內文,Info_Close_1,Click / tap to return to the game.,輕觸以返回主遊戲。,轻触以返回主游戏。,คลิกหรือนิ้วแตะเพื่อกลับเข้าสู่เกม
INFO_共用操作,,大標題,Info_Interrupted,Interrupted game,遊戲中斷,游戏中断,เกมถูกขัดจังหวะ
INFO_共用操作,,內文,Info_Interrupted_1,"All game rounds may be reviewed in History.
Any amount wagered on an unfinished game will remain paused until you either complete the game or the game is void as a result of account inactivity or system maintenance. 
Any awards earned on an unfinished round will not be credited.
Game rounds will never be affected by unforeseen external errors due to hardware, bandwidth, network errors or similar.","所有遊戲回合均可在歷史記錄中查看。
任何未完成遊戲的投注金額都將暫停，直到您完成遊戲或因帳戶閒置或系統維護導致遊戲無效為止。
任何未完成回合獲得的獎勵將不予記入。
遊戲回合不會受到硬體、頻寬、網路錯誤或類似不可預見的外部錯誤的影響。","所有游戏回合均可在历史记录中查看。
任何未完成游戏的投注金额都将暂停，直到您完成游戏或因帐户闲置或系统维护导致游戏无效为止。
任何未完成回合获得的奖励将不予记入。
游戏回合不会受到硬件、带宽、网络错误或类似不可预见的外部错误的影响。","เกมที่ถูกขัดจังหวะทั้งหมดสามารถตรวจสอบได้ใน ประวัติ
จำนวนเงินที่วางเดิมพันไว้ในเกมที่ยังไม่จบจะถูกพักไว้ จนกว่าคุณจะเล่นเกมนั้นต่อให้จบ หรือจนกว่าเกมจะถูกยกเลิกเนื่องจากไม่มีการใช้งานบัญชี หรือการบำรุงรักษาระบบ
รางวัลใด ๆ ที่ได้รับในรอบที่ยังไม่เสร็จจะไม่ได้รับการเพิ่มเข้าบัญชี
รอบเกมจะไม่ถูกกระทบจากข้อผิดพลาดภายนอกที่ไม่คาดคิด เช่น ปัญหาฮาร์ดแวร์ แบนด์วิธ เครือข่าย หรือข้อผิดพลาดที่คล้ายกัน"
INFO_共用操作,,大標題,Info_General,General terms and conditions,一般條款和條件,一般条款和条件,ข้อกำหนดและเงื่อนไขทั่วไป
INFO_共用操作,,內文,Info_General_1,"All wins are multiplied by base bet.
All values are expressed as actual wins in coins.
When winning with multiple symbols, all wins are added to the total win.
Free spins win is awarded to the player after the round completes.
Free spins total win in the history contains the whole win of the cycle.","所有獎金乘以基礎投注。
所有金額均以實際獎金（以硬幣計算）表示。
使用多個符號獲勝時，所有獎金將添加到總獎金中。
免費旋轉獎金將在回合結束後獎勵給玩家。
歷史記錄中的免費旋轉總獎金包含該週期的全部獎金。","所有奖金乘以基础投注。
所有金额均以实际奖金（以硬币计算）表示。
使用多个符号获胜时，所有奖金将添加到总奖金中。
免费旋转奖金将在回合结束后奖励给玩家。
历史记录中的免费旋转总奖金包含该周期的全部奖金。","การชนะทั้งหมดจะถูกคูณด้วยจำนวนเดิมพันพื้นฐาน
ค่าทั้งหมดจะแสดงเป็นจำนวนเหรียญที่ชนะจริง
เมื่อชนะด้วยสัญลักษณ์หลายชุด การชนะทั้งหมดจะถูกรวมเข้าด้วยกันเป็นยอดรวม
การชนะจากฟรีสปินจะได้รับหลังจากรอบการหมุนฟรีสิ้นสุดลง
ยอดชนะรวมจากฟรีสปินที่แสดงใน ประวัติ จะรวมผลชนะทั้งหมดของรอบนั้น"
INFO_共用操作,,內文,Info_General_2,"The symbol payouts displayed above reflect the currently selected bet level. The theoretical payout for this game is {0}%. The RTP was calculated by simulating 10,000,000,000 rounds.","上方顯示的符號賠付反映了目前選擇的投注等級。本遊戲的理論賠付率為 {0}%。 RTP 是透過模擬 10,000,000,000 輪遊戲計算得出的。","上方显示的符号赔付反映了目前选择的投注等级。本游戏的理论赔付率为 {0}%。 RTP 是透过模拟 10,000,000,000 轮游戏计算得出的。","การจ่ายรางวัลของสัญลักษณ์ที่แสดงด้านบนสะท้อนถึงระดับการเดิมพันที่เลือกในปัจจุบัน
อัตราการจ่ายรางวัลตามทฤษฎีของเกมนี้คือ {0}%
ค่า RTP นี้คำนวณจากการจำลองการเล่นจำนวน 10,000,000,000 รอบ"
INFO_共用操作,,內文,Info_General_3,"The RTP of the game when using ""{0}"" is {1}%.",使用「{0}」時，遊戲的玩家回報率 (RTP) 為 {1}%。,使用「{0}」时，游戏的玩家回报率 (RTP) 为 {1}%。,"ค่า RTP ของเกมเมื่อใช้ ""{0}"" คือ {1}%"
INFO_共用操作,,內文,Info_General_4,"The RTP of the game when using the ""EXTRA BET"" is {0}%",使用「額外押注」時，遊戲的玩家回報率 (RTP) 為 {0}%。,使用「额外押注」时，游戏的玩家回报率 (RTP) 为 {0}%。,ค่า RTP ของเกมเมื่อใช้การ เดิมพันพิเศษ คือ {0}%
INFO_共用操作,,內文,Info_General_5,The allowed bet levels for this game are between {0} and {1}. Feature buys can exceed this limit.,此遊戲允許的投注額在 {0} 至 {1} 之間。購買特色功能可超過此限額。,此游戏允许的投注额在 {0} 至 {1} 之间。购买特色功能可超过此限额。,"ระดับการเดิมพันที่อนุญาตสำหรับเกมนี้อยู่ระหว่าง {0} ถึง {1}
การซื้อฟีเจอร์อาจเกินขีดจำกัดนี้ได้"
INFO_共用操作,,內文,Info_General_6,"Misuse or malfunction voids all pays and plays.
Any visual representation of a physical device (a reel, a wheel of fortune or similar) does not represent a ""real"" physical device and the probabilities of it stopping on any particular position is determined by the game's random number generator, and not the number of positions on each device.","誤用或故障將導致所有付款和遊戲無效。
任何實體設備（捲軸、命運之輪或類似裝置）的視覺呈現並不代表「真實」的實體設備，其停在特定位置的機率由遊戲的隨機數產生器決定，而非每個設備上的位置數量。","误用或故障将导致所有付款和游戏无效。
任何实体设备（滚动条、命运之轮或类似装置）的视觉呈现并不代表「真实」的实体设备，其停在特定位置的机率由游戏的随机数产生器决定，而非每个设备上的位置数量。","การใช้งานผิดวิธีหรือระบบขัดข้องจะทำให้การจ่ายรางวัลและการเล่นทั้งหมดเป็นโมฆะ
ภาพแสดงของอุปกรณ์ทางกายภาพ เช่น วงล้อ วงล้อเสี่ยงโชค หรือสิ่งที่คล้ายกัน เป็นเพียงภาพจำลองเท่านั้น
ความน่าจะเป็นของการหยุดในแต่ละตำแหน่งจะถูกกำหนดโดยตัวสร้างตัวเลขสุ่ม ของเกม ไม่ใช่จำนวนตำแหน่งจริงของอุปกรณ์นั้น"
換幣視窗,,內文,Switch_Combo,Do you want switch to Combo Coin? The current balance of Combo Coin is,您想切換到 Combo 幣嗎？ Combo 幣目前的餘額為,您想切换到 Combo 币吗？ Combo 币当前的余额为,
換幣視窗,,內文,Switch_Reel,Do you want switch to Reel? The current balance of Reel is,,,
